2.22;471428.50;82069
2.12;471428.50;82082
1.73;577966.25;82096
2.32;450660.75;82108
1.83;494202.78;82121
1.83;577966.25;82134
2.02;431645.56;82147
1.83;547059.00;82160
2.02;547059.00;82172
2.41;431645.56;82186
1.73;547059.00;82198
2.12;494202.78;82211
2.22;431645.56;82224
1.83;577966.25;82237
2.22;471428.50;82250
2.12;431645.56;82263
1.73;577966.25;82276
2.22;494202.78;82288
2.02;471428.50;82301
1.63;577966.25;82315
2.32;431645.56;82327
1.93;494202.78;82340
1.83;547059.00;82353
2.32;431645.56;82366
1.83;519289.18;82379
2.02;494202.78;82392
2.32;431645.56;82405
1.83;612575.00;82417
2.12;494202.78;82430
2.22;431645.56;82444
1.73;577966.25;82456
2.51;471428.50;82469
2.12;431645.56;82482
1.73;577966.25;82495
2.22;431645.56;82508
1.83;471428.50;82521
1.93;577966.25;82534
2.32;450660.75;82546
2.02;494202.78;82560
1.93;547059.00;82573
3.00;450660.75;82585
1.93;519289.18;82598
2.02;519289.18;82611
2.22;450660.75;82624
1.83;547059.00;82637
2.02;494202.78;82650
2.12;450660.75;82663
1.63;577966.25;82675
2.22;471428.50;82689
2.02;494202.78;82702
1.73;577966.25;82714
2.61;450660.75;82727
1.93;471428.50;82740
2.02;577966.25;82753
2.32;431645.56;82766
1.83;519289.18;82779
1.83;547059.00;82792
2.22;431645.56;82804
1.63;547059.00;82818
2.12;494202.78;82830
2.22;494202.78;82843
1.73;547059.00;82856
2.22;471428.50;82869
2.12;450660.75;82882
1.73;577966.25;82894
2.22;471428.50;82908
2.02;471428.50;82921
1.73;577966.25;82933
2.32;494202.78;82947
1.93;519289.18;82959
1.73;577966.25;82972
2.32;431645.56;82985
1.83;494202.78;82998
2.02;547059.00;83011
2.22;450660.75;83023
1.63;547059.00;83037
2.02;494202.78;83050
2.12;431645.56;83062
1.73;577966.25;83076
2.32;494202.78;83088
2.12;471428.50;83101
1.73;577966.25;83115
2.22;471428.50;83127
1.93;471428.50;83140
1.73;577966.25;83152
2.22;450660.75;83166
1.63;519289.18;83179
1.93;577966.25;83191
2.22;450660.75;83205
1.83;547059.00;83217
2.02;494202.78;83230
2.22;431645.56;83244
1.73;547059.00;83256
2.32;494202.78;83269
2.12;356446.03;83281
1.73;577966.25;83295
2.22;471428.50;83308
2.12;471428.50;83320
1.73;577966.25;83334
2.22;450660.75;83346
2.51;494202.78;83359
1.83;519289.18;83373
2.22;450660.75;83385
1.83;519289.18;83398
1.93;547059.00;83410
2.22;494202.78;83424
1.83;612575.00;83437
2.02;547059.00;83449
2.22;450660.75;83463
1.73;612575.00;83475
2.12;471428.50;83488
2.02;450660.75;83501
1.93;612575.00;83514
2.22;471428.50;83527
2.02;471428.50;83539
1.93;577966.25;83553
2.22;450660.75;83565
1.83;494202.78;83578
2.22;577966.25;83592
2.22;431645.56;83604
1.63;519289.18;83617
2.22;612575.00;83630
2.32;450660.75;83643
1.73;577966.25;83656
2.12;519289.18;83668
2.22;494202.78;83682
1.63;471428.50;83694
2.22;494202.78;83707
2.02;450660.75;83721
1.73;577966.25;83733
2.22;494202.78;83746
1.93;494202.78;83759
1.73;612575.00;83772
2.12;450660.75;83785
1.83;547059.00;83798
2.02;577966.25;83811
2.22;450660.75;83823
1.93;547059.00;83836
1.63;519289.18;83849
2.22;450660.75;83862
1.73;612575.00;83875
2.12;494202.78;83888
2.12;431645.56;83901
1.63;471428.50;83913
2.22;494202.78;83927
2.02;450660.75;83940
1.83;612575.00;83952
2.22;471428.50;83965
1.93;494202.78;83978
1.73;494202.78;83991
2.32;450660.75;84004
1.83;494202.78;84017
1.93;577966.25;84030
2.32;450660.75;84042
1.73;519289.18;84056
1.83;519289.18;84069
2.32;450660.75;84081
1.63;547059.00;84094
2.12;494202.78;84107
2.02;450660.75;84120
1.63;577966.25;84133
2.12;450660.75;84146
2.02;471428.50;84159
1.73;612575.00;84171
2.22;471428.50;84185
1.93;494202.78;84198
1.83;577966.25;84210
2.22;383146.09;84224
1.83;519289.18;84236
1.93;547059.00;84249
2.22;450660.75;84262
1.73;612575.00;84275
2.02;519289.18;84288
2.32;450660.75;84300
1.73;612575.00;84314
2.22;494202.78;84326
2.12;494202.78;84339
1.63;577966.25;84353
2.32;471428.50;84365
1.93;494202.78;84378
1.63;577966.25;84391
2.22;450660.75;84404
1.83;519289.18;84417
1.83;577966.25;84429
2.22;450660.75;84443
1.73;577966.25;84456
1.93;471428.50;84468
2.02;450660.75;84482
1.73;577966.25;84494
2.12;519289.18;84507
2.12;431645.56;84520
1.63;577966.25;84533
2.41;494202.78;84546
2.02;450660.75;84558
1.73;612575.00;84572
2.02;471428.50;84585
1.93;494202.78;84597
1.73;547059.00;84611
2.22;471428.50;84623
1.73;519289.18;84636
